Symbol,Name,Industry,Combined Score,Sales Growth (1 Year),P/E,P/E Relative to Industry,Price/Book,Price/Book Relative to Industry,Price/Sales,Price/Sales Relative to Industry
,,,,,,,,,,
NVDA,NVIDIA Corporation,Others,9.8,-6.8,55.4,1.4,12.6,1.8,14.2,2.3
NKE,"NIKE, Inc. Class B",Others,9.2,-4.4,61.8,1.2,19.1,2.9,4.2,2.2
AVY,Avery Dennison Corporation,Others,8.8,-1.2,36.8,1.6,9.1,2.1,1.6,1.2
BLL,Ball Corporation,Others,8.8,-1.5,38.9,1.7,7.1,1.6,1.9,1.5
HPE,Hewlett Packard Enterprise Co.,Tech,8.8,-6.4,21.4,1.4,1.2,1,0.8,1.3
SLB,Schlumberger NV,Oil,8.8,0.3,#N/A,#N/A,2.3,1.4,1.7,1.7
BA,Boeing Company,Others,8.7,-24.3,#N/A,#N/A,#N/A,#N/A,2.4,1
APH,Amphenol Corporation Class A,Others,8.6,0.3,28.9,1.2,7.1,1.8,4.1,1.4
APTV,Aptiv PLC,Others,8.6,-0.5,24.7,1.3,6.3,1.5,1.7,1.3
ATVI,"Activision Blizzard, Inc.",Others,8.6,-13.9,30.5,1.2,3.6,0.8,7.1,1.4
WEC,WEC Energy Group Inc,Utilities,8.6,-2,25.8,1.1,2.9,1.1,3.9,1.4
HAL,Halliburton Company,Oil,8.5,-6.6,#N/A,#N/A,2.7,1.6,1,0.9
ATO,Atmos Energy Corporation,Others,8.4,-6.9,26.2,1,2.4,1,4.6,1.3
NTAP,"NetApp, Inc.",Tech,8.4,-12,12.3,0.8,39,3.5,1.9,1.2
PSX,Phillips 66,Oil,8.4,-3.4,16.5,1.1,2,1.3,0.5,1.1
TXN,Texas Instruments Incorporated,Others,8.4,-8.9,24.5,0.6,13.4,1.9,8.5,1.4
UNP,Union Pacific Corporation,Others,8.4,-4.9,21.6,1,6.9,1.5,5.9,1.1
FCX,"Freeport-McMoRan, Inc.",Others,8.3,-24.3,#N/A,#N/A,2,1,1.3,1
NWS,News Corporation Class B,Others,8.3,-10.6,#N/A,#N/A,0.9,1,0.8,1
NWSA,News Corporation Class A,Others,8.3,-10.6,#N/A,#N/A,0.9,1,0.8,1
VRSN,"VeriSign, Inc.",Tech,8.3,1.4,37.4,1.3,#N/A,#N/A,18.6,2.2
APD,"Air Products and Chemicals, Inc.",Chemicals,8.2,-0.1,27.9,1,4.4,1.2,5.5,1.9
ECL,Ecolab Inc.,Chemicals,8.2,1.6,36.2,1.3,6.4,1.7,3.8,1.3
FE,FirstEnergy Corp.,Utilities,8.2,-2,31,1.3,3.8,1.5,2.4,0.9
HRL,Hormel Foods Corporation,F&B,8.2,-0.5,22.6,1.2,3.7,1.3,2.3,1.5
ITW,Illinois Tool Works Inc.,Others,8.2,-4.5,23.2,0.8,19,2.9,4.1,1.3
LUV,Southwest Airlines Co.,Air,8.2,2.1,12.6,1.4,2.8,1.2,1.3,1.7
NVR,"NVR, Inc.",Others,8.2,3.2,17.2,1.4,5.7,2.1,2.1,1.6
ROK,"Rockwell Automation, Inc.",Others,8.2,0.5,28.3,1.2,47.2,3.2,2.9,1
UDR,"UDR, Inc.",Financials,8.2,-2.1,73.8,1.3,4.2,0.9,11.5,1.2
VLO,Valero Energy Corporation,Oil,8.2,-7.4,16,1.1,1.8,1.1,0.4,0.9
